,label,n
0,REGION ALPES,12395
1,REGION ALSACE,11264
2,REGION AUVERGNE,4436
3,REGION BOURGOGNE FRANCHE-COMTE,5813
4,REGION BRETAGNE,11421
5,REGION CENTRE,8344
6,REGION CHAMPAGNE-ARDENNE,369
7,REGION DE PARIS RIVE GAUCHE,7995
8,REGION DE PARIS SAINT-LAZARE,1341
9,REGION DE PARIS-EST,8388
10,REGION DE PARIS-NORD,32357
11,REGION DE PARIS-SUD-EST,44893
12,REGION LANGUEDOC-ROUSSILLON,15559
13,REGION LIMOUSIN,3958
14,REGION LORRAINE,8767
15,REGION MIDI PYRENEES,424
16,REGION NORD PAS DE CALAIS,24612
17,REGION NORMANDIE,10491
18,REGION PAYS DE LA LOIRE,25086
19,REGION PICARDIE,2372
20,REGION POITOU-CHARENTES AQUITAINE,36137
21,REGION PROVENCE ALPES COTE D'AZUR,34558
22,REGION RHONE-ALPES,21931
