,gare_regionsncf_libelle,date,lat,long
0,Auvergne-Rhône-Alpes,2016-12-31,373487.384359,41559.476177
1,Auvergne-Rhône-Alpes,2017-12-31,372157.519292,40722.124231
2,Auvergne-Rhône-Alpes,2018-12-31,289816.426852,31585.64161
3,Auvergne-Rhône-Alpes,2019-12-31,306237.020434,33813.190187
4,Auvergne-Rhône-Alpes,2020-12-31,170629.756624,18901.316706999998
5,Auvergne-Rhône-Alpes,2021-12-31,208288.259526,22939.327878
6,Bourgogne-Franche-Comté,2016-12-31,71224.515864,7711.065034
7,Bourgogne-Franche-Comté,2017-12-31,77120.205223,7897.797962
8,Bourgogne-Franche-Comté,2018-12-31,68246.866805,6970.303011
9,Bourgogne-Franche-Comté,2019-12-31,62702.638327,6499.293954
10,Bourgogne-Franche-Comté,2020-12-31,38424.927376,3941.988154
11,Bourgogne-Franche-Comté,2021-12-31,48195.360123,4780.472434
12,Bretagne,2016-12-31,108117.09998099999,-9653.515234999999
13,Bretagne,2017-12-31,108853.376656,-9703.651926
14,Bretagne,2018-12-31,100538.26509999999,-9062.145746
15,Bretagne,2019-12-31,96583.192075,-8798.188528
16,Bretagne,2020-12-31,60959.78182,-5610.513473999999
17,Bretagne,2021-12-31,77228.741883,-7062.549797
18,Centre-Val de Loire,2016-12-31,97501.4070459,3807.2471444
19,Centre-Val de Loire,2017-12-31,98846.2838587,3906.2385142
20,Centre-Val de Loire,2018-12-31,82002.7066604,3287.7052174
21,Centre-Val de Loire,2019-12-31,84672.9456552,3483.1153372
22,Centre-Val de Loire,2020-12-31,43575.1585602,1790.3699821999999
23,Centre-Val de Loire,2021-12-31,66501.413112,2660.827168
24,Grand Est,2016-12-31,171396.9577696,23801.718263
25,Grand Est,2017-12-31,191189.5150406,26943.951846
26,Grand Est,2018-12-31,188527.3994086,26590.3170275
27,Grand Est,2019-12-31,194595.1889554,27566.2335155
28,Grand Est,2020-12-31,99434.3274664,14102.7809225
29,Grand Est,2021-12-31,126252.36067919999,18039.925899500002
30,Hauts-de-France,2016-12-31,311287.861918,17687.5774768
31,Hauts-de-France,2017-12-31,336521.40403,19089.3090138
32,Hauts-de-France,2018-12-31,303400.684068,17255.6233231
33,Hauts-de-France,2019-12-31,232645.175441,12949.070844
34,Hauts-de-France,2020-12-31,116825.203173,6591.6425529
35,Hauts-de-France,2021-12-31,153808.070736,8509.9467103
36,Normandie,2016-12-31,128063.598949,-1465.296122
37,Normandie,2017-12-31,115765.303481,-1477.431664
38,Normandie,2018-12-31,93137.644744,-1301.338166
39,Normandie,2019-12-31,90778.564809,-1559.854515
40,Normandie,2020-12-31,40166.775534,-766.051366
41,Normandie,2021-12-31,49944.291249,-947.9803420000001
42,Nouvelle-Aquitaine,2016-12-31,274315.17354,-3194.813399
43,Nouvelle-Aquitaine,2017-12-31,329320.086919,-4267.207326
44,Nouvelle-Aquitaine,2018-12-31,344163.51862,-4124.224268
45,Nouvelle-Aquitaine,2019-12-31,357595.982671,-4418.271056
46,Nouvelle-Aquitaine,2020-12-31,208220.49341300002,-3095.122139
47,Nouvelle-Aquitaine,2021-12-31,273142.562732,-4237.4290280000005
48,Occitanie,2016-12-31,146201.33386699998,12479.4209545
49,Occitanie,2017-12-31,140254.541062,11958.069952
50,Occitanie,2018-12-31,120698.05889399999,10114.294055
51,Occitanie,2019-12-31,110528.459234,9452.651702
52,Occitanie,2020-12-31,73978.102827,6377.860003
53,Occitanie,2021-12-31,104725.372853,8876.193945
54,Pays de la Loire,2016-12-31,239715.655054,-5040.145053
55,Pays de la Loire,2017-12-31,268186.33921999997,-6190.539808
56,Pays de la Loire,2018-12-31,231975.745306,-6279.949219
57,Pays de la Loire,2019-12-31,205301.67358099998,-5878.956209
58,Pays de la Loire,2020-12-31,112042.71341499999,-2379.512976
59,Pays de la Loire,2021-12-31,131678.07473599998,-2542.19014
60,Provence-Alpes-Côte d'Azur,2016-12-31,341299.41928699997,47337.728022
61,Provence-Alpes-Côte d'Azur,2017-12-31,310628.952652,42319.183307
62,Provence-Alpes-Côte d'Azur,2018-12-31,286745.844127,38695.165973
63,Provence-Alpes-Côte d'Azur,2019-12-31,246984.779385,33203.72562
64,Provence-Alpes-Côte d'Azur,2020-12-31,136069.880129,18212.114165
65,Provence-Alpes-Côte d'Azur,2021-12-31,181665.890453,24199.22445
66,Île-de-France,2016-12-31,948003.8530564,46116.6617815
67,Île-de-France,2017-12-31,907596.1190719999,44167.64671
68,Île-de-France,2018-12-31,841647.180966,40891.96398
69,Île-de-France,2019-12-31,844580.7184039999,40989.375830000004
70,Île-de-France,2020-12-31,422436.63526,20512.732078
71,Île-de-France,2021-12-31,500771.376021,24349.324921
