,departement,n_objets
0,Ain,1477
1,Allier,185
2,Alpes-Maritimes,10840
3,Aube,164
4,Aude,1584
5,Bas-Rhin,20767
6,Bouches-du-Rhône,19967
7,Calvados,421
8,Charente,746
9,Charente-Maritime,7092
10,Cher,1780
11,Côte-d'Or,4384
12,Dordogne,1413
13,Doubs,1315
14,Drôme,3118
15,Eure,133
16,Finistère,15931
17,Gard,1643
18,Gironde,677
19,Haut-Rhin,1198
20,Haute-Garonne,10722
21,Haute-Savoie,432
22,Haute-Vienne,1839
23,Hautes-Alpes,161
24,Hautes-Pyrénées,2250
25,Hérault,2256
26,Ille-et-Vilaine,18357
27,Indre,298
28,Indre-et-Loire,6435
29,Isère,4696
30,Loir-et-Cher,345
31,Loire,434
32,Loire-Atlantique,2893
33,Loiret,988
34,Lot-et-Garonne,1467
35,Maine-et-Loire,3848
36,Marne,690
37,Mayenne,150
38,Meurthe-et-Moselle,4355
39,Morbihan,941
40,Moselle,13
41,Nièvre,1112
42,Nord,22330
43,Oise,608
44,Orne,13
45,Paris,76918
46,Pas-de-Calais,757
47,Puy-de-Dôme,3286
48,Pyrénées-Atlantiques,5192
49,Pyrénées-Orientales,3431
50,Rhône,11559
51,Savoie,3359
52,Saône-et-Loire,92
53,Seine-Maritime,3291
54,Somme,2180
55,Territoire de Belfort,60
56,Val-d'Oise,4135
57,Var,2702
58,Vaucluse,3590
59,Vendée,409
60,Vienne,3914
61,Vosges,768
